name,municipality,iata_code
North Las Vegas Metropolitan International Airport,Las Vegas,VGT
Culberson County Airport,Van Horn,VHN
Rolla National Airport,Rolla/Vichy,VIH
Visalia Municipal Airport,Visalia,VIS
Virginia Highlands Airport,Abingdon,VJI
Vicksburg Municipal Airport,Vicksburg,VKS
Vandalia Municipal Airport,Vandalia,VLA
Valdosta Regional Airport,Valdosta,VLD
Venice Municipal Airport,Venice,VNC
Van Nuys Airport,Van Nuys,VNY
Volk Field,Camp Douglas,VOK
Destin-Fort Walton Beach Airport,Valparaiso,VPS
Porter County Municipal Airport,Valparaiso,VPZ
Cecil Field,Jacksonville,VQQ
Vero Beach Regional Airport,Vero Beach,VRB
Hartness State Airport,North Springfield,VSF
Miller Field,Valentine,VTN
Illinois Valley Regional Airport Walter A Duncan Field,Peru,VYS
Gettysburg Regional Airport,Gettysburg,GTY
Sequim Valley Airport,Sequim,SQV
Grant County Airport,Petersburg,PGC
Wallops Flight Facility Airport,Wallops Island,WAL
Greene County Airport,Waynesburg,WAY
Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,WBW
Enid Woodring Regional Airport,Enid,WDG
Barrow County Airport,Winder,WDR
Waterfall Seaplane Base,Waterfall,KWF
Whiteman Airport,Pacoima,WHP
General William J Fox Airfield,Lancaster,WJF
Strother Field,Winfield / Arkansas City,WLD
Willows Glenn County Airport,Willows,WLW
Winnemucca Municipal Airport,Winnemucca,WMC
West Point Village Seaplane Base,West Point,KWP
Robins Air Force Base,Warner Robins,WRB
Mc Guire Air Force Base,Wrightstown,WRI
Worland Municipal Airport,Worland,WRL
Westerly State Airport,Westerly,WST
Watsonville Municipal Airport,Watsonville,WVI
Waterville Robert Lafleur Airport,Waterville,WVL
Cape May County Airport,Wildwood,WWD
West Woodward Airport,Woodward,WWR
Kiwayu Airport,Kiwayu,KWY
Yellowstone Airport,West Yellowstone,WYS
Tampa North Aero Park Airport,Tampa,KYO
Kasaan Seaplane Base,Kasaan,KXA
Northwest Arkansas National Airport,Fayetteville/Springdale/Rogers,XNA
West Branch Community Airport,West Branch,WBK
Willow Run Airport,Detroit,YIP
Yakima Air Terminal McAllister Field,Yakima,YKM
Chan Gurney Municipal Airport,Yankton,YKN
Youngstown Warren Regional Airport,Youngstown/Warren,YNG
Baikonur Krayniy Airport,Baikonur,BXY
Usharal Airport,Usharal,USJ
Atbasar Airport,Atbasar,ATX
Zachar Bay Seaplane Base,Zachar Bay,KZB
Kaintiba Airport,Kaintiba,KZF
Zephyrhills Municipal Airport,Zephyrhills,ZPH
Zanesville Municipal Airport,Zanesville,ZZV
Layang-Layang Airport,Pulau Layang-Layang (Swallow Reef),LAC
Kukës International Airport,Kukës,KFZ
Tirana International Airport Mother Teresa,Tirana,TIA
Burgas Airport,Burgas,BOJ
Gorna Oryahovitsa Airport,Gorna Oryahovitsa,GOZ
Palm Beach Seaplane Base,Sydney,LBH
Luabo Airport,Luabo,LBM
Plovdiv International Airport,Plovdiv,PDV
Ruse Airport,Shtraklevo,ROU
Sofia Airport,Sofia,SOF
Stara Zagora Airport,Stara Zagora,SZR
Varna Airport,Varna,VAR
Nicosia (Lefkoşa) Ercan International Airport,Tymbou (Kirklar),ECN
Larnaca International Airport,Larnaca,LCA
Loncopue Airport,Loncopue,LCP
Paphos International Airport,Paphos,PFO
RAF Akrotiri,Akrotiri,AKT
Dubrovnik Airport,Dubrovnik,DBV
Lošinj Island Airport,Lošinj,LSZ
Osijek Airport,Osijek,OSI
Pula Airport,Pula,PUY
Rijeka Airport,Rijeka,RJK
Brač Airport,Bol,BWK
Split Airport,Split,SPU
Lansdowne Airport,Lansdowne Station,LDW
Zagreb Airport,Zagreb,ZAG
Zadar Airport,Zemunik (Zadar),ZAD
Albacete Airport / Los Llanos Air Base,Albacete,ABC
Alicante-Elche Miguel Hernández Airport,Alicante,ALC
Almería Airport,Almería,LEI
Asturias Airport,Ranón,OVD
Córdoba Airport,Córdoba,ODB
Bilbao Airport,Bilbao,BIO
Burgos Airport,Burgos,RGS
Josep Tarradellas Barcelona-El Prat Airport,Barcelona,BCN
Badajoz Airport,Badajoz,BJZ
Castellón-Costa Azahar Airport,Castellón de la Plana,CDT
A Coruña Airport,Culleredo,LCG
Lleida-Alguaire Airport,Lleida,ILD
Girona-Costa Brava Airport,Girona,GRO
F.G.L. Airport Granada-Jaén Airport,Granada,GRX
Huesca-Pirineos Airport,Monflorite/Alcalá del Obispo,HSK
Ibiza Airport,Ibiza (Eivissa),IBZ
Jerez Airport,Jerez de la Frontera,XRY
San Javier Airport,San Javier,MJV
León Airport,León,LEN
Logroño-Agoncillo Airport,Logroño,RJL
Adolfo Suárez Madrid–Barajas Airport,Madrid,MAD
Málaga-Costa del Sol Airport,Málaga,AGP
Menorca Airport,Mahón (Maó),MAH
Región de Murcia International Airport,Corvera,RMU
Moron Air Base,Morón,OZP
Lekoni Airport,Lekoni,LEO
Palma de Mallorca Airport,Palma de Mallorca,PMI
Pamplona Airport,Pamplona,PNA
Ciudad Real International Airport,Ciudad Real,CQM
Reus Airport,Reus,REU
Rota Naval Station Airport,Rota,ROZ
Salamanca Airport,Salamanca,SLM
San Sebastián Airport,Hondarribia,EAS
Santiago-Rosalía de Castro Airport,Santiago de Compostela,SCQ
Pirineus - la Seu d'Urgel Airport,La Seu d'Urgell Pyrenees and Andorra,LEU
Teruel Airport,Teruel,TEV
Madrid–Torrejón Airport / Torrejón Air Base,Madrid,TOJ
Valencia Airport,Valencia,VLC
Valladolid Airport,Valladolid,VLL
Vitoria Airport,Alava,VIT
Vigo Airport,Vigo,VGO
Seve Ballesteros-Santander Airport,Santander,SDR
Zaragoza Airport,Zaragoza,ZAZ
Sevilla Airport,Sevilla,SVQ
St Aubin Airport,Dieppe,DPE
Calais-Dunkerque Airport,Marck,CQF
Albert-Bray Airport,Albert/Bray,BYF
Le Touquet-Côte d'Opale Airport,Le Touquet-Paris-Plage,LTQ
Agen-La Garenne Airport,Agen/La Garenne,AGF
Bordeaux-Mérignac Airport,Bordeaux/Mérignac,BOD
Bergerac-Roumanière Airport,Bergerac/Roumanière,EGC
Cognac-Châteaubernard (BA 709) Air Base,Cognac/Châteaubernard,CNG
La Rochelle-Île de Ré Airport,La Rochelle/Île de Ré,LRH
Poitiers-Biard Airport,Poitiers/Biard,PIS
Montluçon-Guéret Airport,Montluçon/Guéret,MCU
Limoges Airport,Limoges/Bellegarde,LIG
Niort-Souché Airport,Niort/Souché,NIT
Toulouse-Blagnac Airport,Toulouse/Blagnac,TLS
Pau Pyrénées Airport,Pau/Pyrénées (Uzein),PUF
Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,LDE
Angoulême-Brie-Champniers Airport,Angoulême/Brie/Champniers,ANG
Périgueux-Bassillac Airport,Périgueux/Bassillac,PGX
Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne,BIQ
Aérodrome de Cahors-Lalbenque,Cahors/Lalbenque,ZAO
Albi-Le Séquestre Airport,Albi/Le Séquestre,LBI
Castres-Mazamet Airport,Castres/Mazamet,DCM
Rodez-Marcillac Airport,Rodez/Marcillac,RDZ
Royan-Médis Airport,Royan/Médis,RYN
Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant,RCO
Aérodrome de Belle Île,Bangor,BIC
Ouessant Airport,Ushant,OUI
Île d'Yeu Airport,Île d'Yeu,IDY
Colmar-Houssen Airport,Colmar/Houssen,CMR
Dole-Tavaux Airport,Dole/Tavaux,DLE
Megève Altiport,Megève,MVV
Aubenas-Ardèche Méridional Airport,Aubenas/Ardèche Méridional,OBS
Le Puy-Loudes Airfield,Le Puy/Loudes,LPY
Altiport L'Alpe d'Huez - Henri GIRAUD,L'Alpe d'Huez,AHZ
Metz-Nancy-Lorraine Airport,Metz / Nancy,ETZ
Angers-Loire Airport,TFFR,ANE
Bastia-Poretta Airport,Bastia/Poretta,BIA
Calvi-Sainte-Catherine Airport,Calvi/Sainte-Catherine,CLY
Figari Sud-Corse Airport,Figari Sud-Corse,FSC
Ajaccio-Napoléon Bonaparte Airport,Ajaccio/Napoléon Bonaparte,AJA
Propriano Airport,Propriano,PRP
Solenzara (BA 126) Air Base,Solenzara,SOZ
Méribel Altiport,Les Allues,MFX
Auxerre-Branches Airport,Auxerre/Branches,AUF
Chambéry-Savoie Airport,Chambéry/Aix-les-Bains,CMF
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne,CFE
Bourges Airport,Bourges,BOU
Courchevel Altiport,Saint-Bon,CVF
Lyon Saint-Exupéry Airport,Lyon,LYS
Saint-Yan Airport,Saint-Yan,SYT
Roanne-Renaison Airport,Roanne/Renaison,RNE
Annecy-Haute-Savoie-Mont Blanc Airport,Annecy/Meythet,NCY
Grenoble-Isère Airport,Saint-Étienne-de-Saint-Geoirs,GNB
Valence-Chabeuil Airport,Valence/Chabeuil,VAF
Vichy-Charmeil Airport,Vichy/Charmeil,VHY
Aurillac Airport,Aurillac,AUR
"Châteauroux-Déols ""Marcel Dassault"" Airport",Châteauroux/Déols,CHR
Lyon-Bron Airport,Lyon/Bron,LYN
Cannes-Mandelieu Airport,Cannes,CEQ
Saint-Étienne-Bouthéon Airport,Saint-Étienne/Bouthéon,EBU
Carcassonne Airport,Carcassonne/Salvaza,CCF
Marseille Provence Airport,Marseille,MRS
Nice-Côte d'Azur Airport,Nice,NCE
Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,PGF
Le Castellet Airport,Le Castellet,CTT
Barcelonnette - Saint-Pons Airfield,Le Castellet,BAE
Montpellier-Méditerranée Airport,Montpellier/Méditerranée,MPL
Béziers-Vias Airport,Béziers/Vias,BZR
Avignon-Caumont Airport,Avignon/Caumont,AVN
Gap - Tallard Airfield,,GAT
Mende-Brenoux Airfield,Mende/Brénoux,MEN
Mont-Dauphin - St-Crépin Airfield,,SCP
Paris Beauvais Tillé Airport,Beauvais,BVA
Évreux-Fauville (BA 105) Air Base,Évreux/Fauville,EVX
Le Havre-Octeville Airport,Le Havre,LEH
Châlons-Vatry Airport,Vatry,XCR
Les Sables-d'Olonne Talmont Airport,Les Sables-d'Olonne,LSO
Rouen Vallée de Seine Airport,Boos,URO
Tours-Val-de-Loire Airport,Tours/Val de Loire (Loire Valley),TUF
Cholet Le Pontreau Airport,Cholet/Le Pontreau,CET
Laval-Entrammes Airport,Laval/Entrammes,LVA
Orléans – Saint-Denis-de-l'Hôtel Airport,Orléans,ORE
Paris-Le Bourget Airport,Paris,LBG
Creil Air Base,Creil,CSF
Charles de Gaulle International Airport,Paris,CDG
Toussus-le-Noble Airport,Toussus-le-Noble,TNF
Paris-Orly Airport,Paris,ORY
Aérodrome de Pontoise - Cormeilles en Vexin,Cormeilles-en-Vexin,POX
Vélizy-Villacoublay Air Base,Vélizy-Villacoublay,VIY
Nevers-Fourchambault Airport,Nevers/Fourchambault,NVS
Lille-Lesquin Airport,Lille/Lesquin,LIL
Merville-Calonne Airport,Merville/Calonne,HZB
Brest Bretagne Airport,Brest/Guipavas,BES
Cherbourg-Maupertus Airport,Cherbourg/Maupertus,CER
Dinard-Pleurtuit-Saint-Malo Airport,Dinard/Pleurtuit/Saint-Malo,DNR
La Baule-Escoublac Airport,La Baule-Escoublac,LBY
Granville Airport,Granville,GFR
Deauville-Saint-Gatien Airport,Deauville,DOL
Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,LRT
La Roche-sur-Yon Airport,La Roche-sur-Yon/Les Ajoncs,EDM
Landivisiau Air Base,Landivisiau,LDV
Caen-Carpiquet Airport,Caen/Carpiquet,CFR
Le Mans-Arnage Airport,Le Mans/Arnage,LME
Rennes-Saint-Jacques Airport,Rennes/Saint-Jacques,RNS
Lannion-Côte de Granit Airport,Lannion,LAI
Quimper-Cornouaille Airport,Quimper/Pluguffan,UIP
Nantes Atlantique Airport,Nantes,NTE
Saint-Brieuc-Armor Airport,Saint-Brieuc/Armor,SBK
Morlaix-Ploujean Airport,Morlaix/Ploujean,MXN
Vannes-Meucon Airport,Vannes/Meucon,VNE
Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,SNR
EuroAirport Basel-Mulhouse-Freiburg Airport,Bâle/Mulhouse,BSL
Dijon-Bourgogne Airport,Dijon/Longvic,DIJ
Épinal-Mirecourt Airport,Épinal/Mirecourt,EPL
Brive-Souillac,Brive la Gaillarde,BVE
Nancy-Essey Airport,Nancy/Essey,ENC
Strasbourg Airport,Strasbourg,SXB
Toulon-Hyères Airport,Toulon/Hyères/Le Palyvestre,TLN
Rize–Artvin Airport,Rize,RZV
Nîmes-Arles-Camargue Airport,Nîmes/Garons,FNI
La Môle Airport,La Môle,LTT
Miquelon Airport,Miquelon,MQC
St Pierre Airport,Saint-Pierre,FSP
Andravida Air Base,Andravida,PYR
Alexandroupoli Democritus Airport,Alexandroupolis,AXD
Athens Eleftherios Venizelos International Airport,Athens,ATH
Nea Anchialos National Airport,Nea Anchialos,VOL
Mulan Airport,Lake Gregory,LGE
Chios Island National Airport,Chios Island,JKH
Ikaria Airport,Ikaria Island,JIK
Ioannina Airport,Ioannina,IOA
Heraklion International Nikos Kazantzakis Airport,Heraklion,HER
Kastoria National Airport Aristotle,Argos Orestiko,KSO
Kithira Airport,Kithira Island,KIT
Kefallinia Airport,Kefallinia Island,EFL
Kastelorizo Airport,Kastelorizo Island,KZS
Kalamata Airport,Kalamata,KLX
Kos Airport,Kos Island,KGS
Karpathos Airport,Karpathos Island,AOK
Ioannis Kapodistrias International Airport,Kerkyra Island,CFU
Kasos Airport,Kasos Island,KSJ
Kavala Alexander the Great International Airport,Kavala,KVA
Kalymnos Airport,Kalymnos Island,JKL
Kozani State Airport Filippos,Kozani,KZI
Leros Airport,Leros Island,LRS
Limnos Airport,Limnos Island,LXS
Larissa Air Base,Larissa,LRA
Mikonos Airport,Mykonos Island,JMK
Milos Airport,Milos Island,MLO
Mytilene International Airport,Mytilene,MJT
Linga Linga Airport,Linga Linga,LGN
Naxos Apollon Airport,Naxos,JNX
Bicol International Airport,Legazpi,DRP
Paros National Airport,Paros,PAS
Astypalaia Airport,Astypalaia Island,JTY
Aktion National Airport,Preveza/Lefkada,PVK
Diagoras Airport,Rodes Island,RHO
Patras Araxos Agamemnon Airport,Patras,GPA
Chania International Airport,Souda,CHQ
Skiathos Island National Airport,Skiathos,JSI
Samos Airport,Samos Island,SMI
Syros Airport,Syros Island,JSY
Sparti Airport,Sparti,SPJ
Santorini Airport,Santorini Island,JTR
Sitia Airport,Crete Island,JSH
Skiros Airport,Skiros Island,SKU
Thessaloniki Macedonia International Airport,Thessaloniki,SKG
"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos Island,ZTH
Budapest Liszt Ferenc International Airport,Budapest,BUD
Debrecen International Airport,Debrecen,DEB
Pécs-Pogány Airport,Pécs-Pogány,PEV
Hévíz–Balaton Airport,Sármellék,SOB
L'Aquila–Preturo Airport,L'Aquila,QAQ
Crotone Airport,Crotone,CRV
Bari Karol Wojtyła Airport,Bari,BRI
"Foggia ""Gino Lisa"" Airport",Foggia,FOG
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",Grottaglie,TAR
Lecce Galatina Air Base,,LCC
Abruzzo Airport,Pescara,PSR
Brindisi Airport,Brindisi,BDS
Lamezia Terme Airport,Lamezia Terme (CZ),SUF
Comiso Airport,Comiso,CIY
Catania-Fontanarossa Airport,Catania,CTA
Lampedusa Airport,Lampedusa,LMP
Pantelleria Airport,Pantelleria (TP),PNL
Falcone–Borsellino Airport,Palermo,PMO
Reggio Calabria Airport,Reggio Calabria,REG
Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),TPS
Sigonella Navy Air Base,Sigonella (CT),NSY
Belluno Airport,Belluno (BL),BLX
Ravenna Airport,Ravenna,RAN
Alghero-Fertilia Airport,Alghero,AHO
Decimomannu Air Base,Decimomannu,DCI
Cagliari Elmas Airport,Cagliari,CAG
Olbia Costa Smeralda Airport,Olbia (SS),OLB
Oristano-Fenosu Airport,Oristano,FNU
Tortolì Airport,Arbatax,TTB
Malpensa International Airport,Milan,MXP
Milan Bergamo Airport,Milan,BGY
Turin Airport,Torino,TRN
Villanova D'Albenga International Airport,Albenga (SV),ALL
Genoa Cristoforo Colombo Airport,Genova,GOA
Milano Linate Airport,Milan,LIN
Parma Airport,Parma,PMF
Aosta Airport,Aosta,AOT
Cuneo International Airport,Cuneo,CUF
Aviano Air Base,Aviano (PN),AVB
Bolzano Airport,Bolzano,BZO
Udine-Campoformido Air Base,Udine,UDN
Bologna Guglielmo Marconi Airport,Bologna,BLQ
Treviso-Sant'Angelo Airport,Treviso,TSF
Forlì Airport,Forlì (FC),FRL
Brescia Airport,Montichiari (BS),VBS
Trieste–Friuli Venezia Giulia Airport,Trieste,TRS
Federico Fellini International Airport,Rimini,RMI
Verona-Villafranca Valerio Catullo Airport,Villafranca di Verona,VRN
Marche Airport,Ancona,AOI
Venice Marco Polo Airport,Venice,VCE
Lucca-Tassignano Airport,Lucca,LCV
Siena-Ampugnano Airport,Siena,SAY
Ciampino–G. B. Pastine International Airport,Rome,CIA
Rome–Fiumicino Leonardo da Vinci International Airport,Rome,FCO
Salerno Costa d'Amalfi Airport,Salerno,QSR
Marina Di Campo Airport,Marina  Di Campo,EBA
Naples International Airport,Napoli,NAP
Pisa International Airport,Pisa,PSA
Peretola Airport,Firenze,FLR
Grosseto Air Base,Grosetto,GRS
Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,PEG
Ljubljana Jože Pučnik Airport,Ljubljana,LJU
Maribor Airport,,MBX
Portorož Airport,Portorož,POW
Lekana Airport,Lekana,LKC
Kunovice Airport,Uherské Hradiště,UHE
Karlovy Vary International Airport,Karlovy Vary,KLV
Ostrava Leos Janáček Airport,Ostrava,OSR
Olomouc Airport,Olomouc,OLO
Pardubice Airport,Pardubice,PED
Přerov Air Base,Přerov,PRV
Václav Havel Airport Prague,Prague,PRG
Brno-Tuřany Airport,Brno,BRQ
Vodochody Airport,Vodochody,VOD
Zabreh Ostrava Airfield,Zabreh,ZBE
Ben Gurion International Airport,Tel Aviv,TLV
Beersheba (Teyman) Airport,Beersheba,BEV
Ramon International Airport,Eilat,ETM
Ein Yahav Airfield,Sapir,EIY
La Lima - Reginaldo Hammer Airport,La Lima,LLH
Haifa International Airport,Haifa,HFA
Rosh Pina Airport,Rosh Pina,RPN
Kiryat Shmona Airport,Kiryat Shmona,KSW
Lissadell Airport,Lissadell Station,LLL
Bar Yehuda Airfield,Masada,MTZ
Nevatim Air Base,Beersheba,VTM
Ovda Airport,Eilat,VDA
Ramon Air Base,Beersheba,MIP
Yotvata Airfield,Yotvata,YOT
Malta International Airport,Valletta,MLA
Madivaru Airport,Naifaru,LMV
Palma Airport,Palma,LMZ
Lengbati Airport,,LNC
Munbil Airport,,LNF
Langimar Airport,,LNM
Hohenems-Dornbirn Airfield,Hohenems / Dornbirn,HOH
Francisco Primo de Verdad y Ramos Airport,Lagos de Moreno,LOM
Lowe AHP (Fort Rucker) Heliport,Fort Rucker Ozark,LOR
Graz Airport,Graz (Feldkirchen bei Graz),GRZ
Innsbruck Airport,Innsbruck,INN
Klagenfurt Airport,Klagenfurt am Wörthersee,KLU
Linz-Hörsching Airport / Vogler Air Base,Linz,LNZ
Salzburg Airport,Salzburg,SZG
Vienna International Airport,Vienna,VIE
Alverca Air Base,Vila Franca de Xira,AVR
Santa Maria Airport,Vila do Porto,SMA
Bragança Airport,Bragança,BGC
Beja Airport / Airbase,Beja,BYJ
Braga Municipal Aerodrome,Braga,BGZ
Aerodromo de Chaves,Chaves,CHV
Aerodromo Municipal de Coimbra,Coimbra,CBP
Corvo Airport,Corvo,CVU
Cascais Airport,Cascais,CAT
Flores Airport,Santa Cruz das Flores,FLW
Faro Airport,Faro,FAO
Graciosa Airport,Santa Cruz da Graciosa,GRW
Horta Airport,Horta,HOR
Lajes Airport,Praia da Vitória,TER
Madeira International Airport Cristiano Ronaldo,Funchal,FNC
Monte Real Air Base,,QLR
João Paulo II Airport,Ponta Delgada,PDL
Pico Airport,Pico Island,PIX
Portimão Airport,Portimão,PRM
Francisco de Sá Carneiro Airport,Porto,OPO
Porto Santo Airport,Vila Baleira,PXO
Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,LIS
São Jorge Airport,Velas,SJZ
Vila Real Airport,Vila Real,VRL
Aerodromo Goncalves Lobato (Viseu Airport),Viseu,VSE
Banja Luka International Airport,Banja Luka,BNX
Mostar International Airport,Mostar,OMO
Sarajevo International Airport,Sarajevo,SJJ
Tuzla International Airport,Tuzla,TZL
Arad International Airport,Arad,ARW
Bacău Airport,Bacău,BCM
Maramureș International Airport,Baia Mare,BAY
Băneasa International Airport,Bucharest,BBU
Mihail Kogălniceanu International Airport,Constanţa,CND
Cluj-Napoca International Airport,Cluj-Napoca,CLJ
Caransebeş Airport,Caransebeş,CSB
Craiova Airport,Craiova,CRA
Iaşi Airport,Iaşi,IAS
Oradea International Airport,Oradea,OMR
Henri Coandă International Airport,Bucharest,OTP
Brașov-Ghimbav International Airport (U.C.),Brașov (Ghimbav),GHV
Sibiu International Airport,Sibiu,SBZ
Satu Mare Airport,Satu Mare,SUJ
Suceava Stefan cel Mare Airport,Suceava,SCV
Tulcea Danube Delta Airport,Tulcea,TCE
Transilvania Târgu Mureş International Airport,Târgu Mureş,TGM
Timişoara Traian Vuia Airport,Timişoara,TSR
Geneva Cointrin International Airport,Geneva,GVA
Sion Airport,Sion,SIR
Emmen Air Base,,EML
Lugano Airport,Lugano,LUG
Bern-Belp Airport,Bern-Belp,BRN
Buochs Airport,Buochs,BXO
Zürich Airport,Zurich,ZRH
St Gallen Altenrhein Airport,Altenrhein,ACH
Samedan Airport,,SMV
Gökçeada Airport,Gökçeada,GKD
Esenboğa International Airport,Ankara,ESB
Etimesgut Air Base,Ankara,ANK
Adana Şakirpaşa Airport,Seyhan,ADA
İncirlik Air Base,Sarıçam,UAB
Afyon Air Base,Afyonkarahisar,AFY
Antalya International Airport,Antalya,AYT
Gaziantep International Airport,Gaziantep,GZT
Kastamonu Airport,Kastamonu,KFS
Konya Airport,Konya,KYA
Amasya Merzifon Airport,Amasya,MZH
Sivas Nuri Demirağ Airport,Sivas,VAS
Zonguldak Çaycuma Airport,Zonguldak,ONQ
Malatya Erhaç Airport,Malatya,MLX
Kayseri Erkilet Airport,Kayseri,ASR
Tokat Airport,Tokat,TJK
Çardak Airport,Denizli,DNZ
Nevşehir Kapadokya Airport,Nevşehir,NAV
İstanbul Atatürk Airport,"Bakırköy, Istanbul",ISL
Çıldır Airport,Aydın,CII
Balıkesir Merkez Airport,,BZI
Bandırma Airport,Bandırma,BDM
Çanakkale Airport,Çanakkale,CKZ
Eskişehir Air Base,,ESK
Adnan Menderes International Airport,İzmir,ADB
Çiğli Airport,Kaklıç Mahallesi,IGL
Uşak Airport,Uşak,USQ
Cengiz Topel Airport,Kartepe,KCO
Bursa Yenişehir Airport,Bursa,YEI
Dalaman International Airport,Dalaman,DLM
Tekirdağ Çorlu Airport,Çorlu,TEQ
Bodrum-Imsık Airport,Imsık,BXN
Anadolu Airport,Eskişehir,AOE
Zafer Airport,Altıntaş,KZR
Elazığ Airport,Elazığ,EZS
Ordu–Giresun Airport,Ordu,OGU
Diyarbakır Airport,Diyarbakır,DIY
Erzincan Airport,Erzincan,ERC
Erzurum International Airport,Erzurum,ERZ
Kars Airport,Kars,KSY
Trabzon International Airport,Trabzon,TZX
Van Ferit Melen Airport,Van,VAN
Batman Airport,Batman,BAL
Muş Airport,Muş,MSR
Siirt Airport,Siirt,SXZ
Sinop Airport,Sinop,NOP
Kahramanmaraş Airport,Kahramanmaraş,KCM
Ağrı Airport,Ağrı,AJI
Adıyaman Airport,Adıyaman,ADF
Mardin Airport,Mardin,MQM
Şanlıurfa GAP Airport,Şanlıurfa,GNY
Iğdır Airport,Iğdır,IGD
Şırnak Şerafettin Elçi Airport,Şırnak,NKT
Hakkari Yüksekova Airport,Hakkari,YKO
Hatay Airport,Antakya,HTY
Leitre Airport,Leitre,LTF
Süleyman Demirel International Airport,Isparta,ISE
Balıkesir Koca Seyit Airport,Edremit,EDO
Milas Bodrum International Airport,Bodrum,BJV
Gazipaşa-Alanya Airport,Gazipaşa,GZP
Samsun-Çarşamba Airport,Samsun,SZF
Istanbul Sabiha Gökçen International Airport,"Pendik, Istanbul",SAW
İstanbul Airport,"Arnavutköy, Istanbul",IST
Bălți International Airport,Bălți,BZY
Chişinău International Airport,Chişinău,KIV
Lebak Rural Airport,Lebak,LWA
Ohrid St. Paul the Apostle Airport,Ohrid,OHD
Skopje International Airport,Skopje,SKP
Gibraltar Airport,Gibraltar,GIB
Brak Airport,Brak,BCQ
Martuba Air Base,Martuba,DNF
Misrata International Airport,Misrata,MRA
Ubari Airport,Ubari,QUB
Ponikve Airport,Užice,UZC
Belgrade Nikola Tesla Airport,Belgrade,BEG
Berane Airport,Berane,IVG
Batajnica Air Base,Batajnica,BJY
Morava Airport,Kraljevo,KVO
Nis Airport,Nis,INI
Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,TGD
Tivat Airport,Tivat,TIV
Langzhong Gucheng Airport,Nanchong (Langzhong),LZG
M. R. Štefánik Airport,Bratislava,BTS
Košice Airport,Košice,KSC
Lučenec Airport,Lučenec,LUE
Piešťany Airport,Piešťany,PZY
Prešov Air Base,Prešov,POV
Sliač Airport,Sliač,SLD
Poprad-Tatry Airport,Poprad,TAT
Žilina Airport,Žilina,ILZ
Drummond Airport,Drummond,DRU
Guelmim Airport,Guelmim,GLN
Ware Airport,Ware,UWA
Mamai Airport,Mamai,MAP
JAGS McCartney International Airport,Cockburn Town,GDT
Middle Caicos Airport,Middle Caicos,MDS
North Caicos Airport,North Caicos,NCA
Pine Cay Airport,Pine Cay,PIC
Providenciales International Airport,Providenciales,PLS
South Caicos Airport,South Caicos,XSC
Salt Cay Airport,Salt Cay,SLX
Maria Montez International Airport,Barahona,BRX
Cabo Rojo Airport,Cabo Rojo,CBJ
Samaná El Catey International Airport,Samana,AZS
Constanza - Expedición 14 de Junio National Airport,Costanza,COZ
La Isabela International Airport,La Isabela,JBQ
Casa De Campo International Airport,La Romana,LRM
Punta Cana International Airport,Punta Cana,PUJ
Gregorio Luperon International Airport,Puerto Plata,POP
Las Américas International Airport,Santo Domingo,SDQ
Cibao International Airport,Santiago,STI
Médouneu Airport,"Médouneu, Gabon",MDV
Loring International Airport,Limestone,LIZ
Melfi Airport,Melfi,MEF
Ambohibary Airport,Moramanga,OHB
Ankokoambo Airport,Ankokoambo,NKO
Doany Airport,Doany,DOA
Coban Airport,Coban,CBV
Carmelita Airport,Carmelita,CMM
Coatepeque Airport,Coatepeque,CTF
La Aurora Airport,Guatemala City,GUA
Huehuetenango Airport,Huehuetenango,HUG
Manga Airport,Manga Mission,MGP
Puerto Barrios Airport,Puerto Barrios,PBR
Poptún Airport,Poptún,PON
Quiché Airport,Santa Cruz del Quiché,AQB
Quezaltenango Airport,Quezaltenango,AAZ
Rubelsanto Airport,Rubelsanto,RUV
Las Vegas Airport,Rio Dulce,LCF
Retalhuleu Airport,Retalhuleu,RER
San José Airport,Puerto San José,GSJ
Mundo Maya International Airport,San Benito,FRS
Ailuk Airport,Ailuk Island,AIM
Aur Island Airport,Aur Atoll,AUL
Enyu Airfield,Bikini Atoll,BII
Ebadon Airport,Ebadon Island,EBN
Jabot Airport,Ailinglapalap Atoll,JAT
Jeh Airport,Ailinglapalap Atoll,JEJ
Likiep Airport,Likiep Island,LIK
Lae Island Airport,Lae Island,LML
Maloelap Island Airport,Maloelap Island,MAV
Mejit Atoll Airport,Mejit Atoll,MJB
Majkin Airport,Majkin,MJE
